filename,tumor,stroke
Tumor\no\1 no.jpeg,0,0
Tumor\no\10 no.jpg,0,0
Tumor\no\11 no.jpg,0,0
Tumor\no\12 no.jpg,0,0
Tumor\no\13 no.jpg,0,0
Tumor\no\14 no.jpg,0,0
Tumor\no\15 no.jpg,0,0
Tumor\no\17 no.jpg,0,0
Tumor\no\18 no.jpg,0,0
Tumor\no\19 no.jpg,0,0
Tumor\no\2 no.jpeg,0,0
Tumor\no\20 no.jpg,0,0
Tumor\no\21 no.jpg,0,0
Tumor\no\22 no.jpg,0,0
Tumor\no\23 no.jpg,0,0
Tumor\no\24 no.jpg,0,0
Tumor\no\25 no.jpg,0,0
Tumor\no\26 no.jpg,0,0
Tumor\no\27 no.jpg,0,0
Tumor\no\28 no.jpg,0,0
Tumor\no\29 no.jpg,0,0
Tumor\no\3 no.jpg,0,0
Tumor\no\30 no.jpg,0,0
Tumor\no\31 no.jpg,0,0
Tumor\no\32 no.jpg,0,0
Tumor\no\33 no.jpg,0,0
Tumor\no\34 no.jpg,0,0
Tumor\no\35 no.jpg,0,0
Tumor\no\36 no.jpg,0,0
Tumor\no\37 no.jpg,0,0
Tumor\no\38 no.jpg,0,0
Tumor\no\39 no.jpg,0,0
Tumor\no\4 no.jpg,0,0
Tumor\no\40 no.jpg,0,0
Tumor\no\41 no.jpg,0,0
Tumor\no\42 no.jpg,0,0
Tumor\no\43 no.jpg,0,0
Tumor\no\44no.jpg,0,0
Tumor\no\45 no.jpg,0,0
Tumor\no\46 no.jpg,0,0
Tumor\no\47 no.jpg,0,0
Tumor\no\48 no.jpeg,0,0
Tumor\no\49 no.jpg,0,0
Tumor\no\5 no.jpg,0,0
Tumor\no\50 no.jpg,0,0
Tumor\no\6 no.jpg,0,0
Tumor\no\7 no.jpg,0,0
Tumor\no\8 no.jpg,0,0
Tumor\no\9 no.jpg,0,0
Tumor\no\aug_0_1 no.jpeg,0,0
Tumor\no\aug_10_1 no.jpeg,0,0
Tumor\no\aug_11_1 no.jpeg,0,0
Tumor\no\aug_12_1 no.jpeg,0,0
Tumor\no\aug_13_1 no.jpeg,0,0
Tumor\no\aug_14_1 no.jpeg,0,0
Tumor\no\aug_15_1 no.jpeg,0,0
Tumor\no\aug_16_1 no.jpeg,0,0
Tumor\no\aug_17_1 no.jpeg,0,0
Tumor\no\aug_18_1 no.jpeg,0,0
Tumor\no\aug_19_1 no.jpeg,0,0
Tumor\no\aug_1_1 no.jpeg,0,0
Tumor\no\aug_20_1 no.jpeg,0,0
Tumor\no\aug_21_1 no.jpeg,0,0
Tumor\no\aug_22_1 no.jpeg,0,0
Tumor\no\aug_23_1 no.jpeg,0,0
Tumor\no\aug_24_1 no.jpeg,0,0
Tumor\no\aug_25_1 no.jpeg,0,0
Tumor\no\aug_26_1 no.jpeg,0,0
Tumor\no\aug_27_1 no.jpeg,0,0
Tumor\no\aug_28_1 no.jpeg,0,0
Tumor\no\aug_29_1 no.jpeg,0,0
Tumor\no\aug_2_1 no.jpeg,0,0
Tumor\no\aug_30_1 no.jpeg,0,0
Tumor\no\aug_31_1 no.jpeg,0,0
Tumor\no\aug_32_1 no.jpeg,0,0
Tumor\no\aug_33_1 no.jpeg,0,0
Tumor\no\aug_34_1 no.jpeg,0,0
Tumor\no\aug_35_1 no.jpeg,0,0
Tumor\no\aug_36_1 no.jpeg,0,0
Tumor\no\aug_37_1 no.jpeg,0,0
Tumor\no\aug_38_1 no.jpeg,0,0
Tumor\no\aug_39_1 no.jpeg,0,0
Tumor\no\aug_3_1 no.jpeg,0,0
Tumor\no\aug_40_1 no.jpeg,0,0
Tumor\no\aug_41_1 no.jpeg,0,0
Tumor\no\aug_42_1 no.jpeg,0,0
Tumor\no\aug_43_1 no.jpeg,0,0
Tumor\no\aug_44_1 no.jpeg,0,0
Tumor\no\aug_45_1 no.jpeg,0,0
Tumor\no\aug_46_1 no.jpeg,0,0
Tumor\no\aug_47_1 no.jpeg,0,0
Tumor\no\aug_48_1 no.jpeg,0,0
Tumor\no\aug_49_1 no.jpeg,0,0
Tumor\no\aug_4_1 no.jpeg,0,0
Tumor\no\aug_50_1 no.jpeg,0,0
Tumor\no\aug_51_1 no.jpeg,0,0
Tumor\no\aug_52_1 no.jpeg,0,0
Tumor\no\aug_53_1 no.jpeg,0,0
Tumor\no\aug_54_1 no.jpeg,0,0
Tumor\no\aug_55_1 no.jpeg,0,0
Tumor\no\aug_56_1 no.jpeg,0,0
Tumor\no\aug_5_1 no.jpeg,0,0
Tumor\no\aug_6_1 no.jpeg,0,0
Tumor\no\aug_7_1 no.jpeg,0,0
Tumor\no\aug_8_1 no.jpeg,0,0
Tumor\no\aug_9_1 no.jpeg,0,0
Tumor\no\N1.JPG,0,0
Tumor\no\N11.jpg,0,0
Tumor\no\N15.jpg,0,0
Tumor\no\N16.jpg,0,0
Tumor\no\N17.jpg,0,0
Tumor\no\N19.JPG,0,0
Tumor\no\N2.JPG,0,0
Tumor\no\N20.JPG,0,0
Tumor\no\N21.jpg,0,0
Tumor\no\N22.JPG,0,0
Tumor\no\N26.JPG,0,0
Tumor\no\N3.jpg,0,0
Tumor\no\N5.jpg,0,0
Tumor\no\N6.jpg,0,0
Tumor\no\no 1.jpg,0,0
Tumor\no\no 10.jpg,0,0
Tumor\no\no 100.jpg,0,0
Tumor\no\no 2.jpg,0,0
Tumor\no\no 3.jpg,0,0
Tumor\no\no 4.jpg,0,0
Tumor\no\no 5.jpeg,0,0
Tumor\no\no 6.jpg,0,0
Tumor\no\no 7.jpeg,0,0
Tumor\no\no 8.jpg,0,0
Tumor\no\no 89.jpg,0,0
Tumor\no\no 9.png,0,0
Tumor\no\no 90.jpg,0,0
Tumor\no\no 91.jpeg,0,0
Tumor\no\no 92.jpg,0,0
Tumor\no\no 923.jpg,0,0
Tumor\no\no 94.jpg,0,0
Tumor\no\no 95.jpg,0,0
Tumor\no\no 96.jpg,0,0
Tumor\no\no 97.jpg,0,0
Tumor\no\no 98.jpg,0,0
Tumor\no\no 99.jpg,0,0
Tumor\no\no.jpg,0,0
Tumor\no\No11.jpg,0,0
Tumor\no\No12.jpg,0,0
Tumor\no\No13.jpg,0,0
Tumor\no\No14.jpg,0,0
Tumor\no\No15.jpg,0,0
Tumor\no\No16.jpg,0,0
Tumor\no\No17.jpg,0,0
Tumor\no\No18.jpg,0,0
Tumor\no\No19.jpg,0,0
Tumor\no\No20.jpg,0,0
Tumor\no\No21.jpg,0,0
Tumor\no\No22.jpg,0,0
Stroke\yes\2 (1).JPG,0,1
Stroke\yes\2 (1).png,0,1
Stroke\yes\2 (10).JPG,0,1
Stroke\yes\2 (10).png,0,1
Stroke\yes\2 (100).JPG,0,1
Stroke\yes\2 (100).png,0,1
Stroke\yes\2 (1000).png,0,1
Stroke\yes\2 (1001).png,0,1
Stroke\yes\2 (1002).png,0,1
Stroke\yes\2 (1003).png,0,1
Stroke\yes\2 (1005).png,0,1
Stroke\yes\2 (1006).png,0,1
Stroke\yes\2 (1007).png,0,1
Stroke\yes\2 (1008).png,0,1
Stroke\yes\2 (1009).png,0,1
Stroke\yes\2 (101).JPG,0,1
Stroke\yes\2 (101).png,0,1
Stroke\yes\2 (1010).png,0,1
Stroke\yes\2 (1011).png,0,1
Stroke\yes\2 (1012).png,0,1
Stroke\yes\2 (102).JPG,0,1
Stroke\yes\2 (102).png,0,1
Stroke\yes\2 (103).png,0,1
Stroke\yes\2 (104).JPG,0,1
Stroke\yes\2 (104).png,0,1
Stroke\yes\2 (105).JPG,0,1
Stroke\yes\2 (105).png,0,1
Stroke\yes\2 (106).JPG,0,1
Stroke\yes\2 (106).png,0,1
Stroke\yes\2 (107).png,0,1
Stroke\yes\2 (108).JPG,0,1
Stroke\yes\2 (108).png,0,1
Stroke\yes\2 (109).JPG,0,1
Stroke\yes\2 (109).png,0,1
Stroke\yes\2 (11).JPG,0,1
Stroke\yes\2 (11).png,0,1
Stroke\yes\2 (110).JPG,0,1
Stroke\yes\2 (110).png,0,1
Stroke\yes\2 (111).JPG,0,1
Stroke\yes\2 (111).png,0,1
Stroke\yes\2 (113).JPG,0,1
Stroke\yes\2 (113).png,0,1
Stroke\yes\2 (114).JPG,0,1
Stroke\yes\2 (114).png,0,1
Stroke\yes\2 (115).png,0,1
Stroke\yes\2 (116).png,0,1
Stroke\yes\2 (117).JPG,0,1
Stroke\yes\2 (118).JPG,0,1
Stroke\yes\2 (119).JPG,0,1
Stroke\yes\2 (12).png,0,1
Stroke\yes\2 (120).JPG,0,1
Stroke\yes\2 (120).png,0,1
Stroke\yes\2 (121).png,0,1
Stroke\yes\2 (122).JPG,0,1
Stroke\yes\2 (122).png,0,1
Stroke\yes\2 (123).JPG,0,1
Stroke\yes\2 (123).png,0,1
Stroke\yes\2 (124).JPG,0,1
Stroke\yes\2 (125).JPG,0,1
Stroke\yes\2 (125).png,0,1
Stroke\yes\2 (126).JPG,0,1
Stroke\yes\2 (126).png,0,1
Stroke\yes\2 (127).JPG,0,1
Stroke\yes\2 (128).JPG,0,1
Stroke\yes\2 (129).JPG,0,1
Stroke\yes\2 (129).png,0,1
Stroke\yes\2 (13).png,0,1
Stroke\yes\2 (130).JPG,0,1
Stroke\yes\2 (130).png,0,1
Stroke\yes\2 (131).JPG,0,1
Stroke\yes\2 (132).JPG,0,1
Stroke\yes\2 (133).JPG,0,1
Stroke\yes\2 (133).png,0,1
Stroke\yes\2 (134).JPG,0,1
Stroke\yes\2 (134).png,0,1
Stroke\yes\2 (135).JPG,0,1
Stroke\yes\2 (135).png,0,1
Stroke\yes\2 (136).JPG,0,1
Stroke\yes\2 (137).JPG,0,1
Stroke\yes\2 (137).png,0,1
Stroke\yes\2 (138).JPG,0,1
Stroke\yes\2 (138).png,0,1
Stroke\yes\2 (139).png,0,1
Stroke\yes\2 (14).JPG,0,1
Stroke\yes\2 (14).png,0,1
Stroke\yes\2 (140).JPG,0,1
Stroke\yes\2 (140).png,0,1
Stroke\yes\2 (141).png,0,1
Stroke\yes\2 (142).png,0,1
Stroke\yes\2 (143).JPG,0,1
Stroke\yes\2 (143).png,0,1
Stroke\yes\2 (144).png,0,1
Stroke\yes\2 (145).JPG,0,1
Stroke\yes\2 (145).png,0,1
Stroke\yes\2 (146).JPG,0,1
Stroke\yes\2 (146).png,0,1
Stroke\yes\2 (147).JPG,0,1
Stroke\yes\2 (147).png,0,1
Stroke\yes\2 (148).JPG,0,1
Stroke\yes\2 (148).png,0,1
Stroke\yes\2 (149).png,0,1
Stroke\yes\2 (15).JPG,0,1
Stroke\yes\2 (15).png,0,1
Stroke\yes\2 (150).JPG,0,1
Stroke\yes\2 (151).JPG,0,1
Stroke\yes\2 (151).png,0,1
Stroke\yes\2 (152).JPG,0,1
Stroke\yes\2 (152).png,0,1
Stroke\yes\2 (153).JPG,0,1
Stroke\yes\2 (153).png,0,1
Stroke\yes\2 (154).png,0,1
Stroke\yes\2 (155).JPG,0,1
Stroke\yes\2 (155).png,0,1
Stroke\yes\2 (156).JPG,0,1
Stroke\yes\2 (157).JPG,0,1
Stroke\yes\2 (157).png,0,1
Stroke\yes\2 (158).JPG,0,1
Stroke\yes\2 (158).png,0,1
Stroke\yes\2 (159).JPG,0,1
Stroke\yes\2 (159).png,0,1
Stroke\yes\2 (16).JPG,0,1
Stroke\yes\2 (16).png,0,1
Stroke\yes\2 (160).JPG,0,1
Stroke\yes\2 (160).png,0,1
Stroke\yes\2 (161).JPG,0,1
Stroke\yes\2 (161).png,0,1
Stroke\yes\2 (162).JPG,0,1
Stroke\yes\2 (162).png,0,1
Stroke\yes\2 (164).JPG,0,1
Stroke\yes\2 (165).JPG,0,1
Stroke\yes\2 (165).png,0,1
Stroke\yes\2 (166).JPG,0,1
Stroke\yes\2 (166).png,0,1
Stroke\yes\2 (167).png,0,1
Stroke\yes\2 (168).JPG,0,1
Stroke\yes\2 (168).png,0,1
Stroke\yes\2 (169).JPG,0,1
Stroke\yes\2 (17).JPG,0,1
Stroke\yes\2 (170).JPG,0,1
Stroke\yes\2 (170).png,0,1
Stroke\yes\2 (171).JPG,0,1
Stroke\yes\2 (172).JPG,0,1
Stroke\yes\2 (172).png,0,1
Stroke\yes\2 (173).JPG,0,1
Stroke\yes\2 (174).JPG,0,1
Stroke\yes\2 (174).png,0,1
Stroke\yes\2 (175).JPG,0,1
Stroke\yes\2 (175).png,0,1
Stroke\yes\2 (176).JPG,0,1
Stroke\yes\2 (177).JPG,0,1
Stroke\yes\2 (177).png,0,1
Stroke\yes\2 (178).JPG,0,1
Stroke\yes\2 (178).png,0,1
Stroke\yes\2 (179).JPG,0,1
Stroke\yes\2 (179).png,0,1
Stroke\yes\2 (18).JPG,0,1
Stroke\yes\2 (180).JPG,0,1
Stroke\yes\2 (180).png,0,1
Stroke\yes\2 (181).JPG,0,1
Stroke\yes\2 (182).JPG,0,1
Stroke\yes\2 (183).png,0,1
Stroke\yes\2 (184).JPG,0,1
Stroke\yes\2 (184).png,0,1
Stroke\yes\2 (185).JPG,0,1
Stroke\yes\2 (185).png,0,1
Stroke\yes\2 (186).JPG,0,1
Stroke\yes\2 (186).png,0,1
Stroke\yes\2 (187).JPG,0,1
Stroke\yes\2 (189).JPG,0,1
Stroke\yes\2 (189).png,0,1
Stroke\yes\2 (19).JPG,0,1
Stroke\yes\2 (19).png,0,1
Stroke\yes\2 (190).JPG,0,1
Stroke\yes\2 (190).png,0,1
Stroke\yes\2 (191).png,0,1
Stroke\yes\2 (193).png,0,1
Stroke\yes\2 (195).png,0,1
Stroke\yes\2 (196).png,0,1
Stroke\yes\2 (197).png,0,1
Stroke\yes\2 (198).png,0,1
Stroke\yes\2 (199).png,0,1
Stroke\yes\2 (2).JPG,0,1
Stroke\yes\2 (2).png,0,1
Stroke\yes\2 (20).JPG,0,1
Stroke\yes\2 (20).png,0,1
Stroke\yes\2 (200).png,0,1
Stroke\yes\2 (202).png,0,1
Stroke\yes\2 (204).png,0,1
Stroke\yes\2 (205).png,0,1
Stroke\yes\2 (206).png,0,1
Stroke\yes\2 (207).png,0,1
Stroke\yes\2 (208).png,0,1
Stroke\yes\2 (209).png,0,1
Stroke\yes\2 (21).png,0,1
Stroke\yes\2 (210).png,0,1
Stroke\yes\2 (213).png,0,1
Stroke\yes\2 (214).png,0,1
Stroke\yes\2 (215).png,0,1
Stroke\yes\2 (216).png,0,1
Stroke\yes\2 (217).png,0,1
Stroke\yes\2 (218).png,0,1
Stroke\yes\2 (219).png,0,1
Stroke\yes\2 (22).JPG,0,1
Stroke\yes\2 (22).png,0,1
Stroke\yes\2 (220).png,0,1
Stroke\yes\2 (221).png,0,1
Stroke\yes\2 (222).png,0,1
Stroke\yes\2 (223).png,0,1
Stroke\yes\2 (224).png,0,1
Stroke\yes\2 (225).png,0,1
Stroke\yes\2 (227).png,0,1
Stroke\yes\2 (228).png,0,1
Stroke\yes\2 (229).png,0,1
Stroke\yes\2 (23).JPG,0,1
Stroke\yes\2 (231).png,0,1
Stroke\yes\2 (232).png,0,1
Stroke\yes\2 (233).png,0,1
Stroke\yes\2 (235).png,0,1
Stroke\yes\2 (236).png,0,1
Stroke\yes\2 (237).png,0,1
Stroke\yes\2 (24).JPG,0,1
Stroke\yes\2 (240).png,0,1
Stroke\yes\2 (241).png,0,1
Stroke\yes\2 (242).png,0,1
Stroke\yes\2 (243).png,0,1
Stroke\yes\2 (244).png,0,1
Stroke\yes\2 (245).png,0,1
Stroke\yes\2 (246).png,0,1
Stroke\yes\2 (247).png,0,1
Stroke\yes\2 (249).png,0,1
Stroke\yes\2 (25).JPG,0,1
Stroke\yes\2 (251).png,0,1
Stroke\yes\2 (253).png,0,1
Stroke\yes\2 (254).png,0,1
Stroke\yes\2 (255).png,0,1
Stroke\yes\2 (257).png,0,1
Stroke\yes\2 (259).png,0,1
Stroke\yes\2 (26).JPG,0,1
Stroke\yes\2 (26).png,0,1
Stroke\yes\2 (260).png,0,1
Stroke\yes\2 (261).png,0,1
Stroke\yes\2 (262).png,0,1
Stroke\yes\2 (263).png,0,1
Stroke\yes\2 (264).png,0,1
Stroke\yes\2 (265).png,0,1
Stroke\yes\2 (269).png,0,1
Stroke\yes\2 (27).JPG,0,1
Stroke\yes\2 (27).png,0,1
Stroke\yes\2 (271).png,0,1
Stroke\yes\2 (272).png,0,1
Stroke\yes\2 (273).png,0,1
Stroke\yes\2 (274).png,0,1
Stroke\yes\2 (276).png,0,1
Stroke\yes\2 (278).png,0,1
Stroke\yes\2 (279).png,0,1
Stroke\yes\2 (28).JPG,0,1
Stroke\yes\2 (28).png,0,1
Stroke\yes\2 (280).png,0,1
Stroke\yes\2 (283).png,0,1
Stroke\yes\2 (284).png,0,1
Stroke\yes\2 (288).png,0,1
Stroke\yes\2 (289).png,0,1
Stroke\yes\2 (29).JPG,0,1
Stroke\yes\2 (29).png,0,1
Stroke\yes\2 (290).png,0,1
Stroke\yes\2 (291).png,0,1
Stroke\yes\2 (292).png,0,1
Stroke\yes\2 (293).png,0,1
Stroke\yes\2 (294).png,0,1
Stroke\yes\2 (295).png,0,1
Stroke\yes\2 (297).png,0,1
Stroke\yes\2 (298).png,0,1
Stroke\yes\2 (299).png,0,1
Stroke\yes\2 (3).JPG,0,1
Stroke\yes\2 (3).png,0,1
Stroke\yes\2 (30).png,0,1
Stroke\yes\2 (300).png,0,1
Stroke\yes\2 (301).png,0,1
Stroke\yes\2 (302).png,0,1
Stroke\yes\2 (304).png,0,1
Stroke\yes\2 (305).png,0,1
Stroke\yes\2 (306).png,0,1
Stroke\yes\2 (307).png,0,1
Stroke\yes\2 (308).png,0,1
Stroke\yes\2 (309).png,0,1
Stroke\yes\2 (310).png,0,1
Stroke\yes\2 (311).png,0,1
Stroke\yes\2 (312).png,0,1
Stroke\yes\2 (314).png,0,1
Stroke\yes\2 (315).png,0,1
Stroke\yes\2 (316).png,0,1
Stroke\yes\2 (318).png,0,1
Stroke\yes\2 (319).png,0,1
Stroke\yes\2 (32).JPG,0,1
Stroke\yes\2 (32).png,0,1
Stroke\yes\2 (320).png,0,1
Stroke\yes\2 (322).png,0,1
Stroke\yes\2 (323).png,0,1
Stroke\yes\2 (326).png,0,1
Stroke\yes\2 (327).png,0,1
Stroke\yes\2 (328).png,0,1
Stroke\yes\2 (329).png,0,1
Stroke\yes\2 (33).JPG,0,1
Stroke\yes\2 (33).png,0,1
Stroke\yes\2 (330).png,0,1
Stroke\yes\2 (331).png,0,1
Stroke\yes\2 (332).png,0,1
Stroke\yes\2 (333).png,0,1
Stroke\yes\2 (334).png,0,1
Stroke\yes\2 (335).png,0,1
Stroke\yes\2 (337).png,0,1
Stroke\yes\2 (338).png,0,1
Stroke\yes\2 (339).png,0,1
Stroke\yes\2 (34).png,0,1
Stroke\yes\2 (340).png,0,1
Stroke\yes\2 (341).png,0,1
Stroke\yes\2 (342).png,0,1
Stroke\yes\2 (343).png,0,1
Stroke\yes\2 (344).png,0,1
Stroke\yes\2 (345).png,0,1
Stroke\yes\2 (346).png,0,1
Stroke\yes\2 (347).png,0,1
Stroke\yes\2 (348).png,0,1
Stroke\yes\2 (35).JPG,0,1
Stroke\yes\2 (35).png,0,1
Stroke\yes\2 (350).png,0,1
Stroke\yes\2 (351).png,0,1
Stroke\yes\2 (352).png,0,1
Stroke\yes\2 (354).png,0,1
Stroke\yes\2 (355).png,0,1
Stroke\yes\2 (356).png,0,1
Stroke\yes\2 (357).png,0,1
Stroke\yes\2 (359).png,0,1
Stroke\yes\2 (360).png,0,1
Stroke\yes\2 (362).png,0,1
Stroke\yes\2 (364).png,0,1
Stroke\yes\2 (367).png,0,1
Stroke\yes\2 (37).JPG,0,1
Stroke\yes\2 (37).png,0,1
Stroke\yes\2 (370).png,0,1
Stroke\yes\2 (371).png,0,1
Stroke\yes\2 (372).png,0,1
Stroke\yes\2 (374).png,0,1
Stroke\yes\2 (375).png,0,1
Stroke\yes\2 (376).png,0,1
Stroke\yes\2 (377).png,0,1
Stroke\yes\2 (378).png,0,1
Stroke\yes\2 (379).png,0,1
Stroke\yes\2 (38).JPG,0,1
Stroke\yes\2 (380).png,0,1
Stroke\yes\2 (381).png,0,1
Stroke\yes\2 (382).png,0,1
Stroke\yes\2 (383).png,0,1
Stroke\yes\2 (384).png,0,1
Stroke\yes\2 (386).png,0,1
Stroke\yes\2 (387).png,0,1
Stroke\yes\2 (388).png,0,1
Stroke\yes\2 (389).png,0,1
Stroke\yes\2 (39).png,0,1
Stroke\yes\2 (390).png,0,1
Stroke\yes\2 (392).png,0,1
Stroke\yes\2 (393).png,0,1
Stroke\yes\2 (396).png,0,1
Stroke\yes\2 (397).png,0,1
Stroke\yes\2 (398).png,0,1
Stroke\yes\2 (399).png,0,1
Stroke\yes\2 (4).JPG,0,1
Stroke\yes\2 (40).JPG,0,1
Stroke\yes\2 (40).png,0,1
Stroke\yes\2 (400).png,0,1
Stroke\yes\2 (401).png,0,1
Stroke\yes\2 (402).png,0,1
Stroke\yes\2 (403).png,0,1
Stroke\yes\2 (404).png,0,1
Stroke\yes\2 (405).png,0,1
Stroke\yes\2 (406).png,0,1
Stroke\yes\2 (407).png,0,1
Stroke\yes\2 (409).png,0,1
Stroke\yes\2 (41).JPG,0,1
Stroke\yes\2 (41).png,0,1
Stroke\yes\2 (410).png,0,1
Stroke\yes\2 (411).png,0,1
Stroke\yes\2 (412).png,0,1
Stroke\yes\2 (413).png,0,1
Stroke\yes\2 (414).png,0,1
Stroke\yes\2 (415).png,0,1
Stroke\yes\2 (416).png,0,1
Stroke\yes\2 (417).png,0,1
Stroke\yes\2 (419).png,0,1
